 
tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En:Phi:Theta:Time")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *        En *       Phi *     Theta *      Time *
***********************************************************************************************************************************
*        0 *        0 *         3 *         1 *        22 *        22 *         0 * 0.1874198 * 13.492886 * 1.3602397 * 0.8127150 *
*        1 *        0 *         4 *         1 *        22 *        22 *         5 *       0.5 * 43.991063 * 6.9587159 * 0.8224050 *
*        2 *        0 *         9 *         1 *        22 *        22 *         5 * 0.4246525 * 45.626405 * 4.3287417 * 0.8249656 *
*        3 *        0 *        10 *         1 *        22 *        22 *         4 * 0.0524042 * 104.35673 * 5.1877124 * 0.8171227 *
*        4 *        0 *        11 *         1 *        22 *        22 *         8 * 0.3259865 * 53.862373 * 5.6887218 * 0.9440003 *
*        5 *        0 *        12 *         2 *        22 *        22 *         2 * 0.1425772 * 152.61960 * 2.7546765 * 0.8318286 *
*        5 *        1 *        12 *         2 *        22 *        22 *         3 * 0.3574227 * 106.52156 * 2.3043704 * 0.8710695 *
*        6 *        0 *        13 *         1 *        22 *        22 *         1 *       0.5 * 16.029342 * 4.7679847 * 0.8143559 *
*        7 *        0 *        14 *         1 *        22 *        22 *         4 *       0.5 * 92.368767 * 3.8986093 * 0.8478484 *
*        8 *        0 *        20 *         1 *        22 *        22 *         8 *       0.5 * 61.472603 * 5.4472242 * 0.8336659 *
*        9 *        0 *        21 *         1 *        22 *        22 *         2 *       0.5 * 170.28638 * 2.6091248 * 0.8323034 *
*       10 *        0 *        24 *         1 *        22 *        22 *         5 * 0.4119584 * 51.983037 * 5.7528578 * 0.8212908 *
*       11 *        0 *        26 *         1 *        22 *        22 *         4 * 0.3535442 * 70.754284 * 4.1810792 * 0.8861215 *
*       12 *        0 *        27 *         1 *        22 *        22 *         2 * 0.2163809 * 21.179130 * 3.6378820 * 0.9235087 *
*       13 *        0 *        29 *         1 *        22 *        22 *         0 *       0.5 * 51.267221 * 0.9671903 * 0.8393187 *
*       14 *        0 *        30 *         1 *        22 *        22 *         1 * 0.4311107 * 18.389167 * 4.1648936 * 0.8242111 *
*       15 *        0 *        31 *         1 *        22 *        22 *         4 *       0.5 * 99.602080 * 4.1938421 * 0.8380226 *
*       16 *        0 *        39 *         1 *        22 *        22 *         2 *       0.5 * 9.4941308 * 3.1336093 * 0.8453053 *
*       17 *        0 *        41 *         2 *        22 *        22 *         6 * 0.2557752 * 130.99328 * 3.1578592 * 0.9171747 *
*       17 *        1 *        41 *         2 *        22 *        22 *         1 * 0.2098354 * 152.20508 * 2.7893216 * 0.9480826 *
*       18 *        0 *        42 *         1 *        22 *        22 *         4 * 0.0368110 * 103.15741 * 3.5981540 * 0.8706281 *
*       19 *        0 *        45 *         1 *        22 *        22 *         6 *       0.5 * 150.63543 * 4.2571991 * 0.9146289 *
*       20 *        0 *        47 *         1 *        22 *        22 *         4 * 0.0383383 * 104.84410 * 3.4743326 * 0.9082135 *
*       21 *        0 *        50 *         1 *        22 *        22 *         4 * 0.3265435 * 105.55252 * 5.0305935 * 0.9181294 *
*       22 *        0 *        51 *         2 *        22 *        22 *         2 * 0.1608850 * 12.487334 * 4.8042305 * 0.8151964 *
T
