 
root [2] .L ../../Angles.C 
root [3] tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En:Phi:Theta:Time")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *        En *       Phi *     Theta *      Time *
***********************************************************************************************************************************
*        0 *        0 *        13 *         1 *        22 *        22 *       220 * 0.1245649 * 56.466489 * 89.617270 * 1.5953391 *
*        1 *        0 *        30 *         1 *        22 *        22 *       273 * 0.1809332 * 66.818738 * 76.358981 * 0.9587377 *
*        2 *        0 *        43 *         1 *        22 *        22 *       128 *      0.25 * 128.49789 * 52.654153 * 0.7866257 *
*        3 *        0 *        50 *         1 *        22 *        22 *        21 *      0.25 * 149.23025 * 117.56535 * 0.7892414 *
*        4 *        0 *        66 *         1 *        22 *        22 *        43 * 0.1834855 * 43.559120 * 42.800364 * 0.7900140 *
*        5 *        0 *        94 *         1 *        22 *        22 *       162 * 0.2309085 * 131.56019 * 102.02851 * 0.8641991 *
*        6 *        0 *       136 *         1 *        22 *        22 *       265 * 0.2299235 * 109.94634 * 74.085021 * 0.7856630 *
*        7 *        0 *       139 *         1 *        22 *        22 *       241 * 0.2461414 * 100.50893 * 60.567667 * 0.7975743 *
*        8 *        0 *       159 *         1 *        22 *        22 *        23 *      0.25 * 150.47858 * 104.54175 * 0.7829233 *
*        9 *        0 *       183 *         1 *        22 *        22 *       278 *      0.25 * 78.194713 * 107.75705 * 0.7994675 *
*       10 *        0 *       212 *         1 *        22 *        22 *        13 * 0.1345325 * 90.367419 * 152.57252 * 0.8544061 *
*       11 *        0 *       226 *         1 *        22 *        22 *       224 * 0.0334232 * 66.281994 * 114.45367 * 0.8082798 *
*       12 *        0 *       227 *         1 *        22 *        22 *       120 * 0.1351850 * 140.21637 * 100.48900 * 0.8360377 *
*       13 *        0 *       230 *         1 *        22 *        22 *        42 *      0.25 * 49.194861 * 36.355341 * 0.8039742 *
*       14 *        0 *       231 *         1 *        22 *        22 *       182 * 0.0140147 * 45.950452 * 77.396297 * 1.5925896 *
*       15 *        0 *       238 *         1 *        22 *        22 *       243 * 0.2220175 * 87.425270 * 58.604488 * 0.7834351 *
*       16 *        0 *       250 *         1 *        22 *        22 *        41 *      0.25 * 56.459230 * 33.565876 * 0.7804368 *
*       17 *        0 *       259 *         1 *        22 *        22 *       148 * 0.1722347 * 49.922898 * 112.77327 * 0.9203152 *
*       18 *        0 *       268 *         2 *        22 *        22 *        29 * 0.0949811 * 151.02375 * 69.047078 * 0.7933941 *
*       18 *        1 *       268 *         2 *        22 *        22 *        28 * 0.1019498 * 151.81309 * 72.809924 * 0.8478132 *
*       19 *        0 *       279 *         1 *        22 *        22 *        12 *  0.196931 * 80.551362 * 153.78203 * 0.7860883 *
*       20 *        0 *       280 *         1 *        22 *        22 *       254 *      0.25 * 76.727168 * 112.53450 * 0.7945779 *
*       21 *        0 *       292 *         1 *        22 *        22 *        33 *      0.25 * 138.73104 * 44.068907 * 0.7844351 *
*       22 *        0 *       309 *         1 *        22 *        22 *        83 *      0.25 * 126.45035 * 43.965017 * 0.8611155 *
*       23 *        0 *       325 *         1 *        22 *        22 *       177 *      0.25 * 66.197894 * 51.330368 * 0.7757462 *
