 
tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En:Phi:Theta:Time")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *        En *       Phi *     Theta *      Time *
***********************************************************************************************************************************
*        0 *        0 *         3 *         2 *        22 *        22 *        10 * 0.2964745 * 58.728499 * 148.59423 * 0.7935574 *
*        0 *        1 *         3 *         2 *        22 *        22 *        60 * 0.1323563 * 60.616974 * 142.16785 * 0.9584809 *
*        1 *        0 *         4 *         1 *        22 *        22 *       104 *       0.5 * 48.028178 * 119.40348 * 0.8022057 *
*        2 *        0 *        15 *         2 *        22 *        22 *        79 * 0.2139338 * 143.87752 * 63.836932 * 0.8553023 *
*        2 *        1 *        15 *         2 *        22 *        22 *        32 * 0.0541988 * 143.72344 * 51.713874 * 1.0410368 *
*        3 *        0 *        32 *         1 *        22 *        22 *       108 *       0.5 * 67.498579 * 138.13697 * 0.7823893 *
*        4 *        0 *        35 *         1 *        22 *        22 *        20 * 0.3314246 * 145.74070 * 125.47062 * 0.8387647 *
*        5 *        0 *        38 *         1 *        22 *        22 *       278 *       0.5 * 80.240619 * 106.25223 * 0.7773235 *
*        6 *        0 *        43 *         1 *        22 *        22 *        80 * 0.4504667 * 140.54941 * 60.480040 * 0.7991872 *
*        7 *        0 *        45 *         1 *        22 *        22 *       190 * 0.3549508 * 69.489808 * 123.93950 * 0.8211949 *
*        8 *        0 *        57 *         2 *        22 *        22 *         0 * 0.1807546 * 27.342333 * 89.214975 * 0.7788540 *
*        8 *        1 *        57 *         2 *        22 *        22 *        50 * 0.2026707 * 27.396711 * 85.200284 * 0.8492060 *
*        9 *        0 *        59 *         1 *        22 *        22 *        85 *       0.5 * 112.84327 * 34.758404 * 0.7750244 *
*       10 *        0 *        66 *         1 *        22 *        22 *         4 * 0.1442081 * 30.091925 * 115.71777 * 0.7896384 *
*       11 *        0 *        83 *         1 *        22 *        22 *       146 * 0.4586939 * 48.462932 * 103.96839 * 0.7847690 *
*       12 *        0 *        90 *         1 *        22 *        22 *        36 * 0.4876257 * 118.70928 * 32.024625 * 0.8342203 *
*       13 *        0 *        93 *         1 *        22 *        22 *       138 * 0.2715176 * 49.255431 * 56.457045 * 0.8181860 *
*       14 *        0 *        94 *         1 *        22 *        22 *       127 * 0.1508461 * 132.39724 * 58.799386 * 0.8065186 *
*       15 *        0 *       100 *         1 *        22 *        22 *       168 *       0.5 * 128.87285 * 65.548846 * 0.8092218 *
*       16 *        0 *       102 *         1 *        22 *        22 *       259 * 0.4458012 * 108.52741 * 108.29045 * 0.8118837 *
*       17 *        0 *       112 *         1 *        22 *        22 *       127 * 0.0489200 * 131.22264 * 56.764300 * 0.8585707 *
*       18 *        0 *       114 *         1 *        22 *        22 *       153 * 0.3047524 * 80.605838 * 135.08186 * 0.9071531 *
*       19 *        0 *       117 *         1 *        22 *        22 *       142 *       0.5 * 39.965290 * 78.424576 * 0.7797285 *
*       20 *        0 *       118 *         1 *        22 *        22 *       290 *       0.5 * 85.508368 * 70.840953 * 0.8028316 *
*       21 *        0 *       122 *         1 *        22 *        22 *       137 *       0.5 * 56.552881 * 49.706549 * 0.8159508 *
