 
root [0] new TBrowser()
(TBrowser *) 0x559b9c43d5d0
root [1] (TFile *) 0x559b9d4d5df0
.L ../../PDG_ZA.C 
root [2] tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En*1000:Time:Phi:Theta")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *   En*1000 *      Time *       Phi *     Theta *
***********************************************************************************************************************************
*        0 *        0 *         0 *         4 *    711760 *        22 *         1 * 753.62643 * 3.400e+27 *         0 * 3.5456361 *
*        0 *        1 *         0 *         4 *    711760 *    721769 *         1 * 0.0023019 * 3.400e+27 *         0 * 3.5456361 *
*        0 *        2 *         0 *         4 *    711760 *    721761 *         1 * 0.0001243 * 3.400e+27 *         0 * 3.5456361 *
*        0 *        3 *         0 *         4 *    711760 *    721760 *         1 * 0.0002646 * 3.400e+27 * 6.995e-07 * 3.5456360 *
*        1 *        0 *         1 *         4 *    711760 *        22 *         0 * 608.77756 * 3.414e+27 *       270 *         0 *
*        1 *        1 *         1 *         4 *    711760 *    721769 *         0 * 0.0014331 * 3.414e+27 *       270 *         0 *
*        1 *        2 *         1 *         4 *    711760 *    721761 *         0 * 0.0001243 * 3.414e+27 *       270 *         0 *
*        1 *        3 *         1 *         4 *    711760 *    721760 *         0 * 0.0002916 * 3.414e+27 * 27.236537 *         0 *
*        2 *        0 *         2 *         4 *    711760 *        22 *         7 * 712.80158 * 5.703e+27 *       135 * 5.2103440 *
*        2 *        1 *         2 *         4 *    711760 *    721769 *         7 * 0.0025343 * 5.703e+27 *       135 * 5.2103440 *
*        2 *        2 *         2 *         4 *    711760 *    721761 *         7 * 0.0001243 * 5.703e+27 *       135 * 5.2103440 *
*        2 *        3 *         2 *         4 *    711760 *    721760 *         7 * 7.334e-05 * 5.703e+27 *       135 * 5.2103440 *
*        3 *        0 *         3 *         4 *    711760 *        22 *         1 * 477.80970 * 3.107e+26 *         0 * 3.5361655 *
*        3 *        1 *         3 *         4 *    711760 *    721769 *         1 * 0.0019865 * 3.107e+26 *         0 * 3.5361655 *
*        3 *        2 *         3 *         4 *    711760 *    721761 *         1 * 0.0001243 * 3.107e+26 *         0 * 3.5361655 *
*        3 *        3 *         3 *         4 *    711760 *    721760 *         1 * 0.0002604 * 3.107e+26 * 9.682e-07 * 3.5361655 *
*        4 *        0 *         4 *         4 *    711760 *        22 *         3 * 911.12452 * 2.094e+27 *        90 * 3.6269669 *
*        4 *        1 *         4 *         4 *    711760 *    721769 *         3 * 0.0018764 * 2.094e+27 *        90 * 3.6269669 *
*        4 *        2 *         4 *         4 *    711760 *    721761 *         3 * 0.0001243 * 2.094e+27 *        90 * 3.6269669 *
*        4 *        3 *         4 *         4 *    711760 *    721760 *         3 * 2.383e-05 * 2.094e+27 * 90.000000 * 3.6269669 *
*        5 *        0 *         5 *         4 *    711760 *        22 *         3 * 711.54739 * 2.188e+27 *        90 * 3.3763525 *
*        5 *        1 *         5 *         4 *    711760 *    721769 *         3 * 0.0020277 * 2.188e+27 *        90 * 3.3763525 *
*        5 *        2 *         5 *         4 *    711760 *    721761 *         3 * 0.0001243 * 2.188e+27 *        90 * 3.3763525 *
*        5 *        3 *         5 *         4 *    711760 *    721760 *         3 * 0.0002604 * 2.188e+27 *        90 * 3.3763525 *
