 
root [0] .L ../../PDG_ZA.C 
root [1] new TBrowser()
(TBrowser *) 0x55ed1b04b020
root [2] (TFile *) 0x55ed1c996560
tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En*1000:Time:Phi:Theta")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *   En*1000 *      Time *       Phi *     Theta *
***********************************************************************************************************************************
*        0 *        0 *         0 *         3 *    571380 *    561389 *         1 * 0.0002769 * 4.662e+27 *         0 * 3.5456361 *
*        0 *        1 *         0 *         3 *    571380 *    561380 *         1 * 0.0080259 * 4.662e+27 *         0 * 3.5456361 *
*        0 *        2 *         0 *         3 *    571380 *        22 *         1 * 37.448971 * 4.662e+27 *         0 * 3.5456361 *
*        1 *        0 *         1 *         3 *    571380 *        22 *         1 * 69.075556 * 3.548e+26 *         0 * 3.8005095 *
*        1 *        1 *         1 *         3 *    571380 *    581389 *         1 * 0.0001068 * 3.548e+26 *         0 * 3.8005095 *
*        1 *        2 *         1 *         3 *    571380 *    581380 *         1 * 0.0024220 * 3.548e+26 *         0 * 3.8005095 *
*        2 *        0 *         2 *         3 *    571380 *        22 *         1 * 995.36864 * 1.248e+27 *         0 * 3.4331191 *
*        2 *        1 *         2 *         3 *    571380 *    581389 *         1 * 0.0008426 * 1.248e+27 *         0 * 3.4331191 *
*        2 *        2 *         2 *         3 *    571380 *    581380 *         1 * 0.0024220 * 1.248e+27 *         0 * 3.4331191 *
*        3 *        0 *         3 *         3 *    571380 *    561389 *         8 * 0.0003571 * 7.738e+27 *        45 * 5.0036382 *
*        3 *        1 *         3 *         3 *    571380 *    561380 *         8 * 0.0080259 * 7.738e+27 *        45 * 5.0036382 *
*        3 *        2 *         3 *         3 *    571380 *        22 *         8 * 1.2732773 * 7.738e+27 *        45 * 5.0036381 *
*        4 *        0 *         4 *         3 *    571380 *        22 *         6 * 131.78793 * 1.545e+28 *       135 * 5.2438135 *
*        4 *        1 *         4 *         3 *    571380 *    581389 *         6 * 0.0009383 * 1.545e+28 *       135 * 5.2438135 *
*        4 *        2 *         4 *         3 *    571380 *    581380 *         6 * 0.0024220 * 1.545e+28 *       135 * 5.2438135 *
*        5 *        0 *         5 *         3 *    571380 *    561389 *         8 * 0.0003461 * 2.280e+28 *        45 * 4.6619413 *
*        5 *        1 *         5 *         3 *    571380 *    561380 *         8 * 0.0080259 * 2.280e+28 *        45 * 4.6619413 *
*        5 *        2 *         5 *         3 *    571380 *        22 *         8 * 5.9607283 * 2.280e+28 *        45 * 4.6619413 *
*        6 *        0 *         6 *         3 *    571380 *    561389 *         6 * 0.0002769 * 1.722e+26 *       135 * 4.9297065 *
*        6 *        1 *         6 *         3 *    571380 *    561380 *         6 * 0.0080259 * 1.722e+26 *       135 * 4.9297065 *
*        6 *        2 *         6 *         3 *    571380 *        22 *         6 * 37.449062 * 1.722e+26 *       135 * 4.9297065 *
*        7 *        0 *         7 *         4 *    571380 *        22 *         7 * 171.94490 * 6.829e+27 *       135 * 4.8783879 *
*        7 *        1 *         7 *         4 *    571380 *    581389 *         7 * 0.0004285 * 6.829e+27 *       135 * 4.8783879 *
*        7 *        2 *         7 *         4 *    571380 *        22 *         0 * 179.81202 * 6.829e+27 * 136.08719 * 1.8903905 *
*        7 *        3 *         7 *         4 *    571380 *    581380 *         7 * 0.0024220 * 6.829e+27 *       135 * 4.8783879 *
