.L ../../PDG_ZA.C 
root [3] .L ../../Angles.C 
root [4] tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En:Phi:Theta:Time")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *        En *       Phi *     Theta *      Time *
***********************************************************************************************************************************
*        0 *        0 *        28 *         7 *      2112 *        22 *       225 * 1.5054675 * 73.384485 * 116.92797 * 17.723854 *
*        0 *        1 *        28 *         7 *      2112 *    711750 *       225 * 0.0088270 * 73.384485 * 116.92797 * 17.712235 *
*        0 *        2 *        28 *         7 *      2112 *        22 *       255 * 0.3534753 * 80.019757 * 114.69154 * 17.816806 *
*        0 *        3 *        28 *         7 *      2112 *    711760 *       225 * 0.0004572 * 73.755285 * 117.93759 * 19.186020 *
*        0 *        4 *        28 *         7 *      2112 *    721769 *       225 * 5.673e-07 * 73.755287 * 117.93759 * 3.841e+27 *
*        0 *        5 *        28 *         7 *      2112 *    721761 *       225 * 1.243e-07 * 73.755287 * 117.93759 * 3.841e+27 *
*        0 *        6 *        28 *         7 *      2112 *    721760 *       225 * 2.383e-08 * 73.755287 * 117.93759 * 3.841e+27 *
*        1 *        0 *        45 *         1 *      2112 *     80160 *       211 * 0.0622076 * 90.156371 * 50.885218 * 13.623847 *
*        2 *        0 *        77 *         1 *      2112 *      2112 *        94 * 0.0045267 * 39.083678 * 59.852125 *  13.59176 *
*        3 *        0 *        86 *         2 *      2112 *     80160 *       224 * 0.2222860 * 68.061841 * 114.49478 * 24.416952 *
*        3 *        1 *        86 *         2 *      2112 *     80160 *        50 * 0.3257666 * 27.811071 * 82.753396 * 12.575731 *
*        4 *        0 *       106 *         2 *      2112 *        22 *        37 * 0.2732613 * 109.78637 * 29.214459 * 1.2223474 *
*        4 *        1 *       106 *         2 *      2112 *        22 *        85 * 0.1389297 * 113.73251 * 34.726926 * 1.3301950 *
*        5 *        0 *       107 *         4 *      2112 *    711750 *        47 * 0.0114842 * 31.326089 * 64.596724 * 13.853034 *
*        5 *        1 *       107 *         4 *      2112 *        22 *        47 * 0.0009749 * 31.326089 * 64.596724 * 13.853034 *
*        5 *        2 *       107 *         4 *      2112 *        22 *        23 * 0.4181815 * 150.45230 * 104.39257 * 15.415132 *
*        5 *        3 *       107 *         4 *      2112 *     80160 *        47 * 0.0688336 * 30.392298 * 65.673704 * 13.370051 *
*        6 *        0 *       113 *         1 *      2112 *      2112 *        50 * 0.0409946 * 27.935081 * 82.731731 * 12.758799 *
*        7 *        0 *       125 *         3 *      2112 *      2112 *       213 * 0.0239588 * 75.895514 * 55.901001 * 15.536336 *
*        7 *        1 *       125 *         3 *      2112 *        22 *       213 * 0.2514583 * 76.462609 * 55.285391 * 15.664098 *
*        7 *        2 *       125 *         3 *      2112 *    711750 *       213 * 0.0193544 * 76.462609 * 55.285391 * 15.662118 *
*        8 *        0 *       133 *         1 *      2112 *      2112 *       149 * 0.0156788 * 55.916354 * 121.11206 * 12.671569 *
*        9 *        0 *       134 *         6 *      2112 *    711750 *       103 * 0.0190716 * 45.533587 * 115.47052 * 11.989548 *
*        9 *        1 *       134 *         6 *      2112 *        22 *       103 * 0.1137941 * 45.533587 * 115.47052 * 11.989574 *
*        9 *        2 *       134 *         6 *      2112 *        22 *       104 * 0.1138263 * 46.295147 * 118.47878 * 12.038730 *
Type <CR> to continue or q to quit ==> 
*        9 *        3 *       134 *         6 *      2112 *        22 *       148 * 0.1376519 * 49.939606 * 114.98295 * 12.044359 *
*        9 *        4 *       134 *         6 *      2112 *      2112 *       276 * 0.0008445 * 69.881937 * 97.113983 * 45.033535 *
*        9 *        5 *       134 *         6 *      2112 *      2112 *       275 * 0.0331572 * 71.215714 * 91.328886 * 49.862031 *
*       10 *        0 *       148 *         1 *      2112 *      2112 *       253 * 0.0226407 * 70.672473 * 107.72772 * 13.200087 *
*       11 *        0 *       149 *         1 *      2112 *        22 *        32 * 0.3058919 * 143.24561 * 51.464054 * 10.406256 *
*       12 *        0 *       152 *         6 *      2112 *        22 *       124 *  0.113806 * 138.27788 * 74.894382 * 12.396205 *
*       12 *        1 *       152 *         6 *      2112 *    711750 *       124 * 0.0082656 * 138.35318 * 75.036086 * 12.392074 *
*       12 *        2 *       152 *         6 *      2112 *        22 *       125 * 0.9886247 * 136.32908 * 69.212765 * 13.765200 *
*       12 *        3 *       152 *         6 *      2112 *        22 *        25 * 0.1756950 * 153.84223 * 92.145047 * 14.151886 *
*       12 *        4 *       152 *         6 *      2112 *    711750 *       125 * 0.0179591 * 136.32908 * 69.212765 * 13.763833 *
*       12 *        5 *       152 *         6 *      2112 *      2112 *       125 * 0.0347178 * 136.32908 * 69.212765 * 14.409427 *
*       13 *        0 *       167 *         1 *      2112 *        22 *       226 * 0.7831214 * 78.936682 * 120.41711 * 10.641373 *
*       14 *        0 *       172 *         1 *      2112 *        22 *        52 * 1.0137131 * 34.534432 * 97.088198 * 11.314734 *
*       15 *        0 *       186 *         5 *      2112 *    711750 *       291 * 0.0103052 * 80.072431 * 73.980212 * 27.735571 *
