 
root [4] .L ../Angles.C 
root [5] .L ../PDG_ZA.C 

root [5] tree->Scan("Nevent:Reaction:Nhits:PDG_ZA(PDGchit):Enhit:PhiDeg(dXhit,dYhit):ThetaDeg(dZhit):Thit","Volhit==3")
***********************************************************************************************************************
*    Row   * Instance *    Nevent *  Reaction *     Nhits * PDG_ZA(PD *     Enhit * PhiDeg(dX * ThetaDeg( *      Thit *
***********************************************************************************************************************
*        0 *        0 *     91694 *        -1 *         1 *     80180 * 274.94551 * 334.77213 * 6.6512169 * 2.3486062 *
*        1 *        0 *    245505 *        -2 *         1 *     80180 * 274.89148 * 67.380753 * 29.718940 * 2.3501181 *
*        2 *        0 *    246913 *         1 *        14 *    380830 * 43.753148 * 228.56999 * 6.1811569 * 10.476767 *
*        2 *        1 *    246913 *         1 *        14 *        22 * 0.8887751 * 45.703491 * 56.666712 * 0.8029612 *
*        2 *        2 *    246913 *         1 *        14 *        22 * 0.9535372 * 177.89816 * 82.089989 * 0.8025933 *
*        2 *        3 *    246913 *         1 *        14 *        22 * 0.8008676 * 146.80578 * 61.484377 * 0.8028103 *
*        2 *        4 *    246913 *         1 *        14 *        22 * 0.9034598 * 147.15172 * 45.526636 * 0.8027783 *
*        2 *        5 *    246913 *         1 *        14 *      2212 * 8.7763947 * 120.21533 * 43.095114 * 2.9479519 *
*        2 *        6 *    246913 *         1 *        14 *      2112 * 0.1445764 * 162.12453 * 127.68126 * 19.675912 *
*        2 *        7 *    246913 *         1 *        14 *      2112 * 6.2686181 * 51.012371 * 84.120336 * 3.4003218 *
*        2 *        8 *    246913 *         1 *        14 *      2112 * 6.3036793 * 130.32557 * 11.330240 * 3.3893346 *
*        2 *        9 *    246913 *         1 *        14 *      2112 * 7.2862111 * 1.7236389 * 102.12096 * 3.1873605 *
*        2 *       10 *    246913 *         1 *        14 *     10020 * 23.290455 * 2.2082504 *  88.43079 * 2.6240727 *
*        2 *       11 *    246913 *         1 *        14 *     10020 * 19.556471 * 6.7021266 * 86.067938 * 2.8178601 *
*        2 *       12 *    246913 *         1 *        14 *      2112 * 9.5893861 * 139.18068 * 88.469011 * 2.8435510 *
*        2 *       13 *    246913 *         1 *        14 *      2212 * 59.403398 * 203.76785 * 77.524742 * 1.4561974 *
*        3 *        0 *    305271 *         2 *        19 *    360810 * 34.204057 * 254.03517 * 6.0712162 * 11.651018 *
*        3 *        1 *    305271 *         2 *        19 *        22 * 0.0487663 * 157.17893 * 116.41934 * 0.8028413 *
*        3 *        2 *    305271 *         2 *        19 *        22 * 0.9196518 * 254.51602 * 107.66213 * 0.8025925 *
*        3 *        3 *    305271 *         2 *        19 *        22 * 1.1444755 * 235.60919 * 116.98662 * 0.8026599 *
*        3 *        4 *    305271 *         2 *        19 *        22 * 1.2588274 * 129.19670 * 82.136153 * 0.8028503 *
*        3 *        5 *    305271 *         2 *        19 *        22 * 0.5627933 * 323.62151 * 96.964965 * 0.8024301 *
