 tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En:Phi:Theta:Time")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *        En *       Phi *     Theta *      Time *
***********************************************************************************************************************************
*        0 *        0 *         4 *         2 *      2212 *      2212 *       268 * 5.9112295 * 95.221991 *  63.88464 * 3.5786142 *
*        0 *        1 *         4 *         2 *        22 *        22 *       151 * 0.0276681 * 67.583423 * 127.11168 * 1.2542161 *
*        1 *        0 *         6 *         3 *      2112 *     80160 *       278 * 0.4893879 * 80.212943 * 105.62087 * 12.661962 *
*        1 *        1 *         6 *         3 *      2112 *     80160 *       297 * 0.6013772 * 88.891491 * 103.91777 * 10.833314 *
*        1 *        2 *         6 *         3 *      2112 *      2112 *        91 * 0.0047800 * 51.420123 * 43.769341 * 7.9116860 *
*        2 *        0 *         8 *         1 *        22 *        22 *       156 * 1.3266078 * 105.52938 * 131.99991 * 1.2717413 *
*        3 *        0 *        10 *         1 *      2112 *     80160 *       235 * 1.0540724 * 121.03903 * 90.491591 * 7.1550036 *
*        4 *        0 *        23 *         1 *        22 *        22 *       247 * 1.5056733 * 62.469543 * 72.641067 * 1.3629076 *
*        5 *        0 *        27 *         2 *        22 *        22 *       245 * 1.3917832 * 73.039453 * 61.294403 * 1.2973296 *
*        5 *        1 *        27 *         2 *        22 *        22 *       213 * 0.2820555 * 75.236494 * 53.399916 * 1.4323130 *
*        6 *        0 *        28 *         1 *     10030 *     10030 *       135 * 13.932799 * 68.370220 * 41.329885 * 4.5872338 *
*        7 *        0 *        30 *         3 *        22 *    711750 *       268 * 3.847e-06 * 94.477857 * 65.478154 * 1.3736591 *
*        7 *        1 *        30 *         3 *        22 *        22 *       268 * 2.0522491 * 94.477857 * 65.478154 * 1.3734137 *
*        7 *        2 *        30 *         3 *        22 *        22 *       242 * 0.4952379 * 93.195994 * 59.173833 * 1.4784634 *
*        8 *        0 *        31 *         2 *      2112 *      2112 *        19 * 0.0014624 * 143.68108 * 130.85321 * 10.833577 *
*        8 *        1 *        31 *         2 *        22 *        22 *        30 * 0.1032249 * 147.77940 * 62.284078 * 1.2448205 *
*        9 *        0 *        32 *         2 *      2112 *     80160 *       268 * 0.0553681 * 94.182197 * 64.560122 * 12.349285 *
*        9 *        1 *        32 *         2 *        22 *        22 *        84 * 0.9916251 * 122.46126 * 38.905855 * 1.2564681 *
*       10 *        0 *        34 *         1 *        22 *        22 *       146 * 0.0160057 * 47.679137 * 103.21430 * 1.2967876 *
*       11 *        0 *        36 *         1 *      2112 *      2112 *        36 * 0.0058166 * 119.93100 * 29.894962 * 5.9158184 *
*       12 *        0 *        41 *         1 *        22 *        22 *        73 * 0.3234714 * 145.10948 * 102.84886 * 1.3271202 *
*       13 *        0 *        44 *         1 *     10020 *     10020 *        38 * 28.817971 * 94.208765 * 27.449510 * 3.8382427 *
*       14 *        0 *        46 *         1 *        22 *        22 *       187 * 0.1699859 * 56.557956 * 108.31766 * 1.3654721 *
*       15 *        0 *        50 *         2 *      2112 *     80160 *       247 * 0.5111390 * 63.344099 * 72.067575 * 3.4954554 *
*       15 *        1 *        50 *         2 *        22 *        22 *       249 * 0.0631270 *  59.42011 * 84.763840 * 1.2487617 *
Type <CR> to continue or q to quit ==> 
*       16 *        0 *        51 *         1 *        22 *        22 *       154 * 0.9724417 * 91.882600 * 135.04689 *  1.307285 *
*       17 *        0 *        55 *         1 *      2112 *      2112 *       139 * 0.0169306 * 45.920328 * 60.434099 * 4.5367901 *
*       18 *        0 *        65 *         6 *      2112 *        22 *        95 * 1.3403398 * 38.000011 * 64.556207 * 6.2379976 *
*       18 *        1 *        65 *         6 *      2112 *        22 *       248 * 0.1913902 * 59.952537 * 79.027843 * 6.5888559 *
*       18 *        2 *        65 *         6 *      2112 *    711750 *        95 * 0.0930205 * 38.000011 * 64.556207 * 6.2146903 *
*       18 *        3 *        65 *         6 *        22 *        22 *       226 * 0.5635937 * 78.849759 * 119.37413 * 1.2602410 *
*       18 *        4 *        65 *         6 *        22 *        22 *        89 * 0.5015880 * 70.037730 * 35.652878 * 1.2734057 *
*       18 *        5 *        65 *         6 *        22 *        22 *        40 * 0.2720695 * 64.459556 * 31.025083 * 1.3517887 *
*       19 *        0 *        67 *         2 *        22 *        22 *       178 * 0.1213901 * 59.097991 * 56.084034 * 1.2588488 *
*       19 *        1 *        67 *         2 *        22 *        22 *       264 * 0.0234682 * 113.35105 * 80.786300 * 1.2642002 *
*       20 *        0 *        73 *         1 *        22 *        22 *        38 * 0.4845400 * 93.014506 * 26.931407 * 1.2487483 *
*       21 *        0 *        75 *         1 *        22 *        22 *       259 * 1.0081753 * 107.30738 * 110.81605 * 1.3056739 *
*       22 *        0 *        87 *         1 *      2112 *     80160 *        97 * 0.4060649 * 33.732521 * 76.070812 * 13.778348 *
*       23 *        0 *        88 *         6 *      2112 *        22 *       204 * 1.2520518 * 125.28874 * 76.620871 * 4.9899903 *
*       23 *        1 *        88 *         6 *      2112 *        22 *       237 * 1.6210577 * 121.16662 * 76.864559 * 5.0610564 *
*       23 *        2 *        88 *         6 *      2112 *        22 *       113 * 0.6308423 * 113.51544 * 135.12262 * 5.7745673 *
*       23 *        3 *        88 *         6 *      2112 *        22 *       244 * 0.8675384 * 80.733469 * 59.812484 * 5.6197753 *
*       23 *        4 *        88 *         6 *      2112 *      2112 *       204 * 0.0016644 * 125.28874 * 76.620871 * 5.1160969 *
*       23 *        5 *        88 *         6 *      2112 *     80160 *       261 * 0.2528683 * 114.80283 * 98.168035 * 11.664139 *
*       24 *        0 *        91 *         2 *        22 *        22 *       235 * 0.4523347 * 122.93615 * 88.628432 * 1.2865983 *
*       24 *        1 *        91 *         2 *        22 *        22 *       102 * 0.7891854 * 40.902728 * 107.41531 * 1.2754692 *
*       25 *        0 *        94 *         1 *      2112 *     80160 *        89 * 0.8880584 * 69.254574 * 36.373689 * 5.2660254 *
*       26 *        0 *        95 *         1 *      2112 *    711750 *       259 * 0.0790829 * 108.62947 * 109.35502 * 9.4362422 *
*       27 *        0 *        96 *         2 *      2112 *     80160 *       265 * 0.7572051 * 110.88096 * 74.855106 * 3.4281022 *
*       27 *        1 *        96 *         2 *        22 *        22 *       297 * 0.2355593 * 87.186493 * 103.51274 * 1.2777131 *

