 
root [3] .L ../../PDG_ZA.C 
root [4] tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:Time:Phi:Theta")
***********************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *      Time *       Phi *     Theta *
***********************************************************************************************************************
*        0 *        0 *         0 *         1 *    270600 *        22 *        46 * 4.252e+16 * 32.006303 * 59.692954 *
*        1 *        0 *         9 *         1 *    270600 *        22 *       266 * 1.340e+17 * 108.31078 * 69.149202 *
*        2 *        0 *        11 *         1 *    270600 *        22 *        43 * 8.766e+16 * 41.563046 * 42.899095 *
*        3 *        0 *        22 *         1 *    270600 *        22 *       209 * 4.313e+17 * 106.17600 * 55.801237 *
*        4 *        0 *        28 *         1 *    270600 *        22 *       116 * 5.551e+17 * 131.93367 * 122.30136 *
*        5 *        0 *        29 *         1 *    270600 *        22 *       137 * 2.759e+17 * 55.657394 * 51.542803 *
*        6 *        0 *        34 *         1 *    270600 *        22 *       230 * 3.534e+17 * 108.72112 * 118.35024 *
*        7 *        0 *        43 *         1 *    270600 *        22 *       166 * 3.109e+17 * 132.95477 * 78.694960 *
*        8 *        0 *        49 *         1 *    270600 *        22 *       158 * 1.344e+17 * 121.26373 * 124.98902 *
*        9 *        0 *        59 *         1 *    270600 *        22 *        27 * 4.237e+17 * 153.86762 * 80.167455 *
*       10 *        0 *        60 *         1 *    270600 *        22 *       293 * 2.585e+17 * 69.789232 * 82.991618 *
*       11 *        0 *        92 *         2 *    270600 *        22 *       198 * 1.273e+17 * 119.90400 * 114.97080 *
*       11 *        1 *        92 *         2 *    270600 *        22 *        12 * 1.273e+17 *  83.05727 * 152.91916 *
*       12 *        0 *        94 *         1 *    270600 *        22 *       247 * 1.671e+17 * 61.768991 * 72.293532 *
*       13 *        0 *        97 *         1 *    270600 *        22 *        51 * 1.926e+17 * 32.439457 * 91.240855 *
*       14 *        0 *       102 *         2 *    270600 *        22 *       247 * 1.780e+17 * 64.016895 * 70.806291 *
*       14 *        1 *       102 *         2 *    270600 *        22 *       272 * 1.780e+17 * 70.089478 * 73.004598 *
*       15 *        0 *       110 *         1 *    270600 *        22 *       266 * 3.995e+17 * 106.27785 * 70.135376 *
*       16 *        0 *       112 *         1 *    270600 *        22 *       210 * 1.110e+17 * 99.646838 * 53.625682 *
*       17 *        0 *       127 *         1 *    270600 *        22 *       182 * 2.884e+17 * 45.594094 * 76.881436 *
*       18 *        0 *       132 *         1 *    270600 *        22 *       193 * 2.361e+17 * 91.449316 * 127.73958 *
*       19 *        0 *       135 *         2 *    270600 *        22 *       125 * 9.723e+16 * 136.30047 * 70.019806 *
*       19 *        1 *       135 *         2 *    270600 *        22 *       214 * 9.723e+16 * 69.278373 * 57.362405 *
*       20 *        0 *       139 *         1 *    270600 *        22 *       254 * 4.014e+16 * 73.856104 * 110.44737 *
*       21 *        0 *       141 *         1 *    270600 *        22 *       286 * 4.583e+16 * 107.92756 * 81.467417 *
